Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,rn
4388161847,4/23/2016 12:00:00,1,478,501,1
4388161847,5/11/2016 0:00:00,1,469,494,1
4388161847,5/10/2016 0:00:00,1,354,375,1
4388161847,4/21/2016 12:00:00,1,442,458,1
4388161847,4/15/2016 12:00:00,1,499,526,1
4388161847,4/19/2016 12:00:00,1,329,338,1
4388161847,5/5/2016 0:00:00,1,471,495,1
4388161847,4/27/2016 12:00:00,1,439,500,1
6775888955,4/15/2016 12:00:00,1,391,406,1
6775888955,4/13/2016 12:00:00,1,235,260,1
6775888955,4/14/2016 12:00:00,1,423,441,1
5553957443,5/2/2016 0:00:00,1,409,471,1
5553957443,4/29/2016 12:00:00,1,450,495,1
5553957443,4/22/2016 12:00:00,1,322,353,1
5553957443,4/17/2016 12:00:00,1,350,402,1
5553957443,5/3/2016 0:00:00,1,380,429,1
5553957443,4/19/2016 12:00:00,1,357,410,1
5553957443,4/27/2016 12:00:00,1,347,391,1
5553957443,5/6/2016 0:00:00,1,400,434,1
5553957443,4/25/2016 12:00:00,1,433,468,1
5553957443,5/12/2016 0:00:00,1,438,475,1
5553957443,4/20/2016 12:00:00,1,658,678,1
5553957443,4/14/2016 12:00:00,1,357,418,1
5553957443,5/4/2016 0:00:00,1,447,470,1
5553957443,4/12/2016 0:00:00,1,441,464,1
5553957443,5/5/2016 0:00:00,1,419,464,1
5553957443,4/21/2016 12:00:00,1,399,431,1
5553957443,5/7/2016 0:00:00,1,442,470,1
5553957443,5/9/2016 0:00:00,1,453,494,1
5553957443,5/11/2016 0:00:00,1,463,486,1
5553957443,4/26/2016 12:00:00,1,412,453,1
5553957443,5/8/2016 0:00:00,1,568,608,1
5553957443,4/15/2016 12:00:00,1,377,409,1
5553957443,4/28/2016 12:00:00,1,421,457,1
5553957443,5/10/2016 0:00:00,1,418,443,1
7086361926,5/9/2016 0:00:00,1,427,438,1
7086361926,5/11/2016 0:00:00,1,451,463,1
7086361926,4/19/2016 12:00:00,1,472,483,1
7086361926,4/30/2016 12:00:00,1,485,489,1
7086361926,5/6/2016 0:00:00,1,322,333,1
7086361926,4/24/2016 12:00:00,1,681,704,1
7086361926,5/2/2016 0:00:00,1,440,459,1
7086361926,4/26/2016 12:00:00,1,485,500,1
7086361926,5/8/2016 0:00:00,1,481,510,1
7086361926,4/15/2016 12:00:00,1,377,386,1
7086361926,4/27/2016 12:00:00,1,469,479,1
7086361926,5/12/2016 0:00:00,1,444,457,1
7086361926,4/22/2016 12:00:00,1,428,448,1
7086361926,4/25/2016 12:00:00,1,446,447,1
7086361926,4/14/2016 12:00:00,1,472,476,1
7086361926,5/1/2016 0:00:00,1,388,407,1
7086361926,4/12/2016 0:00:00,1,514,525,1
7086361926,4/13/2016 12:00:00,1,451,465,1
7086361926,4/20/2016 12:00:00,1,492,502,1
7086361926,4/21/2016 12:00:00,1,390,411,1
7086361926,5/3/2016 0:00:00,1,456,461,1
7086361926,5/7/2016 0:00:00,1,530,548,1
7086361926,4/28/2016 12:00:00,1,354,367,1
7086361926,5/4/2016 0:00:00,1,420,436,1
5577150313,4/15/2016 12:00:00,1,392,413,1
5577150313,5/3/2016 0:00:00,1,508,543,1
5577150313,5/1/2016 0:00:00,1,379,398,1
5577150313,5/11/2016 0:00:00,1,431,476,1
5577150313,4/29/2016 12:00:00,1,459,485,1
5577150313,4/17/2016 12:00:00,1,549,583,1
5577150313,4/16/2016 12:00:00,1,406,445,1
5577150313,4/19/2016 12:00:00,1,449,465,1
5577150313,5/10/2016 0:00:00,1,504,562,1
5577150313,4/14/2016 12:00:00,1,477,497,1
5577150313,4/20/2016 12:00:00,1,447,480,1
5577150313,4/13/2016 12:00:00,1,432,458,1
5577150313,4/21/2016 12:00:00,1,414,437,1
5577150313,4/24/2016 12:00:00,1,543,615,1
5577150313,4/28/2016 12:00:00,1,361,372,1
5577150313,4/12/2016 0:00:00,1,419,438,1
5577150313,5/4/2016 0:00:00,1,603,634,1
5577150313,4/26/2016 12:00:00,1,354,377,1
5577150313,5/5/2016 0:00:00,1,74,78,1
5577150313,4/25/2016 12:00:00,1,421,461,1
5577150313,4/18/2016 12:00:00,1,527,553,1
5577150313,4/27/2016 12:00:00,1,424,452,1
5577150313,4/23/2016 12:00:00,1,384,402,1
5577150313,4/30/2016 12:00:00,1,412,433,1
5577150313,4/22/2016 12:00:00,1,338,366,1
4445114986,5/12/2016 0:00:00,1,483,501,1
4445114986,5/10/2016 0:00:00,1,405,426,1
4445114986,5/11/2016 0:00:00,1,499,530,1
4445114986,4/22/2016 12:00:00,1,388,417,1
4445114986,4/20/2016 12:00:00,1,439,462,1
4445114986,4/27/2016 12:00:00,1,332,374,1
4445114986,4/16/2016 12:00:00,1,462,499,1
4445114986,4/25/2016 12:00:00,1,328,345,1
4445114986,4/14/2016 12:00:00,1,441,492,1
4445114986,5/9/2016 0:00:00,1,457,533,1
4445114986,4/21/2016 12:00:00,1,436,469,1
4445114986,4/17/2016 12:00:00,1,98,107,1
4445114986,4/30/2016 12:00:00,1,322,353,1
4445114986,4/29/2016 12:00:00,1,106,108,1
4445114986,4/28/2016 12:00:00,1,419,442,1
4445114986,5/8/2016 0:00:00,1,361,391,1
4445114986,5/2/2016 0:00:00,1,502,542,1
4020332650,4/12/2016 0:00:00,1,501,541,1
4020332650,4/16/2016 12:00:00,1,77,77,1
4020332650,5/4/2016 0:00:00,1,478,536,1
4020332650,5/6/2016 0:00:00,1,385,408,1
4020332650,5/10/2016 0:00:00,1,442,494,1
4020332650,5/8/2016 0:00:00,1,364,402,1
4020332650,5/5/2016 0:00:00,1,226,248,1
4020332650,5/3/2016 0:00:00,1,322,332,1
6117666160,4/24/2016 12:00:00,1,353,367,1
6117666160,4/19/2016 12:00:00,1,465,492,1
6117666160,5/9/2016 0:00:00,1,492,522,1
6117666160,5/1/2016 0:00:00,1,507,575,1
6117666160,4/22/2016 12:00:00,1,480,546,1
6117666160,4/20/2016 12:00:00,1,474,502,1
6117666160,5/8/2016 0:00:00,1,555,603,1
6117666160,4/21/2016 12:00:00,1,508,550,1
6117666160,4/27/2016 12:00:00,1,542,557,1
6117666160,4/16/2016 12:00:00,1,380,398,1
6117666160,4/29/2016 12:00:00,1,600,636,1
6117666160,5/5/2016 0:00:00,1,392,415,1
6117666160,4/23/2016 12:00:00,1,492,539,1
6117666160,4/28/2016 12:00:00,1,393,416,1
8378563200,5/11/2016 0:00:00,1,368,387,1
8378563200,4/28/2016 12:00:00,1,506,556,1
8378563200,4/14/2016 12:00:00,1,424,455,1
8378563200,4/24/2016 12:00:00,1,458,492,1
8378563200,5/1/2016 0:00:00,1,475,539,1
8378563200,5/3/2016 0:00:00,1,405,429,1
8378563200,4/30/2016 12:00:00,1,468,555,1
8378563200,5/8/2016 0:00:00,1,545,606,1
8378563200,5/4/2016 0:00:00,1,441,477,1
8378563200,4/21/2016 12:00:00,1,396,417,1
8378563200,4/18/2016 12:00:00,1,398,451,1
8378563200,4/12/2016 0:00:00,1,338,356,1
8378563200,5/9/2016 0:00:00,1,359,399,1
8378563200,4/22/2016 12:00:00,1,441,469,1
8378563200,4/29/2016 12:00:00,1,527,562,1
8378563200,5/10/2016 0:00:00,1,342,391,1
8378563200,5/2/2016 0:00:00,1,351,385,1
8378563200,5/12/2016 0:00:00,1,496,546,1
8378563200,5/6/2016 0:00:00,1,323,355,1
8378563200,5/5/2016 0:00:00,1,381,417,1
8378563200,4/19/2016 12:00:00,1,387,421,1
8378563200,4/26/2016 12:00:00,1,550,584,1
8378563200,4/20/2016 12:00:00,1,381,409,1
8378563200,4/15/2016 12:00:00,1,513,533,1
8378563200,4/27/2016 12:00:00,1,531,600,1
8378563200,4/25/2016 12:00:00,1,388,402,1
8378563200,4/23/2016 12:00:00,1,565,591,1
2026352035,5/6/2016 0:00:00,1,524,548,1
2026352035,4/14/2016 12:00:00,1,545,568,1
2026352035,4/24/2016 12:00:00,1,555,591,1
2026352035,5/5/2016 0:00:00,1,468,485,1
2026352035,4/12/2016 0:00:00,1,503,546,1
2026352035,4/23/2016 12:00:00,1,522,554,1
2026352035,4/15/2016 12:00:00,1,523,573,1
2026352035,5/8/2016 0:00:00,1,541,568,1
2026352035,4/30/2016 12:00:00,1,573,607,1
2026352035,5/1/2016 0:00:00,1,527,546,1
2026352035,5/12/2016 0:00:00,1,456,485,1
2026352035,5/10/2016 0:00:00,1,357,380,1
2026352035,5/2/2016 0:00:00,1,511,543,1
2026352035,4/19/2016 12:00:00,1,498,540,1
2026352035,4/21/2016 12:00:00,1,477,514,1
2026352035,5/4/2016 0:00:00,1,538,560,1
2026352035,4/25/2016 12:00:00,1,506,531,1
2026352035,4/16/2016 12:00:00,1,524,567,1
2026352035,4/27/2016 12:00:00,1,508,545,1
2026352035,4/29/2016 12:00:00,1,490,510,1
2026352035,4/20/2016 12:00:00,1,461,510,1
2026352035,5/9/2016 0:00:00,1,531,556,1
2026352035,4/28/2016 12:00:00,1,513,545,1
2026352035,4/22/2016 12:00:00,1,520,545,1
2026352035,5/7/2016 0:00:00,1,511,521,1
2026352035,4/17/2016 12:00:00,1,437,498,1
2026352035,5/11/2016 0:00:00,1,523,553,1
2026352035,4/13/2016 12:00:00,1,531,565,1
7007744171,4/16/2016 12:00:00,1,79,82,1
7007744171,5/1/2016 0:00:00,1,58,61,1
1927972279,4/13/2016 12:00:00,1,398,422,1
1927972279,4/26/2016 12:00:00,1,296,315,1
1927972279,4/28/2016 12:00:00,1,166,178,1
8792009665,4/22/2016 12:00:00,1,391,407,1
8792009665,5/1/2016 0:00:00,1,503,527,1
8792009665,4/30/2016 12:00:00,1,343,360,1
8792009665,5/2/2016 0:00:00,1,415,423,1
8792009665,4/15/2016 12:00:00,1,363,377,1
8792009665,4/12/2016 0:00:00,1,458,493,1
8792009665,4/13/2016 12:00:00,1,531,552,1
8792009665,4/14/2016 12:00:00,1,486,503,1
8792009665,4/29/2016 12:00:00,1,398,406,1
8792009665,5/4/2016 0:00:00,1,439,463,1
8792009665,4/27/2016 12:00:00,1,423,428,1
8792009665,4/28/2016 12:00:00,1,402,416,1
8792009665,5/3/2016 0:00:00,1,516,545,1
8792009665,4/20/2016 12:00:00,1,528,547,1
8792009665,4/23/2016 12:00:00,1,339,360,1
6962181067,5/8/2016 0:00:00,1,541,569,1
6962181067,5/4/2016 0:00:00,1,442,455,1
6962181067,4/23/2016 12:00:00,1,528,546,1
6962181067,4/28/2016 12:00:00,1,440,453,1
6962181067,4/29/2016 12:00:00,1,433,447,1
6962181067,5/10/2016 0:00:00,1,469,481,1
6962181067,4/20/2016 12:00:00,1,418,424,1
6962181067,5/7/2016 0:00:00,1,298,334,1
6962181067,5/5/2016 0:00:00,1,467,491,1
6962181067,5/3/2016 0:00:00,1,394,418,1
6962181067,4/15/2016 12:00:00,1,370,386,1
6962181067,4/24/2016 12:00:00,1,511,514,1
6962181067,4/18/2016 12:00:00,1,442,458,1
6962181067,5/1/2016 0:00:00,1,411,426,1
6962181067,4/30/2016 12:00:00,1,422,424,1
6962181067,5/12/2016 0:00:00,1,516,535,1
6962181067,5/2/2016 0:00:00,1,466,482,1
6962181067,4/21/2016 12:00:00,1,451,457,1
6962181067,4/27/2016 12:00:00,1,455,467,1
6962181067,4/19/2016 12:00:00,1,476,535,1
6962181067,5/11/2016 0:00:00,1,452,480,1
6962181067,4/12/2016 0:00:00,1,366,387,1
6962181067,5/6/2016 0:00:00,1,443,462,1
6962181067,5/9/2016 0:00:00,1,489,497,1
6962181067,4/26/2016 12:00:00,1,441,446,1
6962181067,4/25/2016 12:00:00,1,400,415,1
6962181067,4/22/2016 12:00:00,1,425,435,1
6962181067,4/16/2016 12:00:00,1,357,366,1
6962181067,4/17/2016 12:00:00,1,427,446,1
3977333714,4/23/2016 12:00:00,1,235,372,1
3977333714,4/15/2016 12:00:00,1,424,556,1
3977333714,5/10/2016 0:00:00,1,312,452,1
3977333714,5/7/2016 0:00:00,1,237,443,1
3977333714,4/30/2016 12:00:00,1,237,382,1
3977333714,5/1/2016 0:00:00,1,383,626,1
3977333714,4/21/2016 12:00:00,1,332,512,1
3977333714,4/25/2016 12:00:00,1,262,467,1
3977333714,5/4/2016 0:00:00,1,213,336,1
3977333714,4/24/2016 12:00:00,1,310,526,1
3977333714,4/12/2016 0:00:00,1,274,469,1
3977333714,4/28/2016 12:00:00,1,261,423,1
3977333714,4/27/2016 12:00:00,1,349,540,1
3977333714,4/22/2016 12:00:00,1,355,476,1
3977333714,4/17/2016 12:00:00,1,381,566,1
3977333714,4/26/2016 12:00:00,1,250,371,1
3977333714,4/14/2016 12:00:00,1,291,397,1
3977333714,4/29/2016 12:00:00,1,333,478,1
3977333714,5/5/2016 0:00:00,1,318,480,1
3977333714,4/19/2016 12:00:00,1,219,395,1
3977333714,4/16/2016 12:00:00,1,283,510,1
3977333714,5/2/2016 0:00:00,1,230,384,1
3977333714,5/6/2016 0:00:00,1,323,512,1
3977333714,5/3/2016 0:00:00,1,292,500,1
4702921684,5/7/2016 0:00:00,1,520,543,1
4702921684,5/6/2016 0:00:00,1,404,449,1
4702921684,5/10/2016 0:00:00,1,416,431,1
4702921684,5/4/2016 0:00:00,1,412,434,1
4702921684,4/18/2016 12:00:00,1,293,312,1
4702921684,4/17/2016 12:00:00,1,591,612,1
4702921684,4/29/2016 12:00:00,1,433,447,1
4702921684,4/14/2016 12:00:00,1,384,415,1
4702921684,4/23/2016 12:00:00,1,465,475,1
4702921684,4/21/2016 12:00:00,1,425,434,1
4702921684,4/24/2016 12:00:00,1,480,506,1
4702921684,4/26/2016 12:00:00,1,421,429,1
4702921684,4/15/2016 12:00:00,1,253,257,1
4702921684,4/28/2016 12:00:00,1,442,461,1
4702921684,4/27/2016 12:00:00,1,432,449,1
4702921684,5/5/2016 0:00:00,1,414,428,1
4702921684,4/12/2016 0:00:00,1,425,439,1
4702921684,4/19/2016 12:00:00,1,457,487,1
4702921684,5/9/2016 0:00:00,1,435,458,1
4702921684,5/3/2016 0:00:00,1,327,373,1
4702921684,4/30/2016 12:00:00,1,479,501,1
4702921684,5/12/2016 0:00:00,1,404,442,1
4702921684,4/25/2016 12:00:00,1,370,380,1
4702921684,5/11/2016 0:00:00,1,354,366,1
4702921684,4/20/2016 12:00:00,1,454,468,1
1844505072,4/15/2016 12:00:00,1,644,961,1
1844505072,5/1/2016 0:00:00,1,590,961,1
1844505072,4/30/2016 12:00:00,1,722,961,1
4319703577,4/19/2016 12:00:00,2,461,498,1
1503960366,4/13/2016 12:00:00,2,384,407,1
1503960366,4/16/2016 12:00:00,2,340,367,1
4388161847,5/2/2016 0:00:00,2,368,376,1
4388161847,5/8/2016 0:00:00,2,529,541,1
4388161847,4/17/2016 12:00:00,2,619,641,1
4388161847,4/16/2016 12:00:00,2,426,448,1
4388161847,4/30/2016 12:00:00,2,409,430,1
5553957443,5/1/2016 0:00:00,2,622,686,1
5553957443,4/13/2016 12:00:00,2,455,488,1
5553957443,4/24/2016 12:00:00,2,553,640,1
5553957443,4/18/2016 12:00:00,2,520,541,1
5553957443,4/16/2016 12:00:00,2,651,686,1
5553957443,4/30/2016 12:00:00,2,775,843,1
5553957443,4/23/2016 12:00:00,2,631,725,1
5577150313,5/2/2016 0:00:00,2,525,553,1
4445114986,5/6/2016 0:00:00,2,374,402,1
4445114986,5/7/2016 0:00:00,2,401,436,1
4445114986,4/26/2016 12:00:00,2,353,391,1
4445114986,5/3/2016 0:00:00,2,417,450,1
4445114986,5/1/2016 0:00:00,2,439,459,1
4445114986,5/5/2016 0:00:00,2,462,513,1
4445114986,4/12/2016 0:00:00,2,429,457,1
4445114986,4/19/2016 12:00:00,2,388,424,1
4445114986,5/4/2016 0:00:00,2,337,363,1
4445114986,4/15/2016 12:00:00,2,337,379,1
4445114986,4/13/2016 12:00:00,2,370,406,1
6117666160,4/17/2016 12:00:00,2,336,350,1
6117666160,5/7/2016 0:00:00,2,498,507,1
6117666160,4/18/2016 12:00:00,2,493,510,1
6117666160,5/6/2016 0:00:00,2,658,698,1
8378563200,4/13/2016 12:00:00,2,447,487,1
8378563200,5/7/2016 0:00:00,2,459,513,1
8378563200,4/16/2016 12:00:00,2,611,689,1
8378563200,4/17/2016 12:00:00,2,525,591,1
1927972279,4/15/2016 12:00:00,2,475,499,1
6962181067,4/14/2016 12:00:00,2,508,535,1
3977333714,5/8/2016 0:00:00,2,259,456,1
3977333714,4/13/2016 12:00:00,2,295,456,1
3977333714,4/20/2016 12:00:00,2,152,305,1
3977333714,4/18/2016 12:00:00,2,412,522,1
4702921684,4/16/2016 12:00:00,2,382,406,1
4702921684,4/13/2016 12:00:00,2,400,430,1
4388161847,4/24/2016 12:00:00,3,552,595,1
1927972279,4/12/2016 0:00:00,3,750,775,1
6962181067,4/13/2016 12:00:00,3,630,679,1
